gap,gap_delta,prior_s,t,criterion,q_hat,se
0.01,0.005,1.0,1000,posterior_gap,0.492,0.022357817424784557
0.01,0.005,1.0,2000,posterior_gap,0.492,0.022357817424784557
0.01,0.005,1.0,3000,posterior_gap,0.488,0.022354238971613417
0.01,0.005,1.0,4000,posterior_gap,0.488,0.022354238971613417
0.01,0.005,1.0,5000,posterior_gap,0.49,0.022356207191739835
0.01,0.005,1.0,6000,posterior_gap,0.492,0.022357817424784557
0.01,0.005,1.0,7000,posterior_gap,0.49,0.022356207191739835
0.01,0.005,1.0,8000,posterior_gap,0.49,0.022356207191739835
0.01,0.005,1.0,9000,posterior_gap,0.49,0.022356207191739835
0.01,0.005,1.0,10000,posterior_gap,0.49,0.022356207191739835
0.1,0.05,1.0,1000,posterior_gap,0.636,0.02151762068631195
0.1,0.05,1.0,2000,posterior_gap,0.628,0.021615549958305478
0.1,0.05,1.0,3000,posterior_gap,0.622,0.02168483340955148
0.1,0.05,1.0,4000,posterior_gap,0.616,0.02175058619899703
0.1,0.05,1.0,5000,posterior_gap,0.614,0.0217717247823869
0.1,0.05,1.0,6000,posterior_gap,0.618,0.02172905888436036
0.1,0.05,1.0,7000,posterior_gap,0.622,0.02168483340955148
0.1,0.05,1.0,8000,posterior_gap,0.62,0.021707141681944216
0.1,0.05,1.0,9000,posterior_gap,0.614,0.0217717247823869
0.1,0.05,1.0,10000,posterior_gap,0.618,0.02172905888436036
0.5,0.25,1.0,1000,posterior_gap,0.824,0.017030795636141023
0.5,0.25,1.0,2000,posterior_gap,0.81,0.01754422982065613
0.5,0.25,1.0,3000,posterior_gap,0.804,0.01775297158224504
0.5,0.25,1.0,4000,posterior_gap,0.808,0.017614539448989292
0.5,0.25,1.0,5000,posterior_gap,0.826,0.016954291492126707
0.5,0.25,1.0,6000,posterior_gap,0.834,0.016639951923007473
0.5,0.25,1.0,7000,posterior_gap,0.826,0.016954291492126707
0.5,0.25,1.0,8000,posterior_gap,0.83,0.016798809481626965
0.5,0.25,1.0,9000,posterior_gap,0.814,0.017401379255679708
0.5,0.25,1.0,10000,posterior_gap,0.814,0.017401379255679708
