section,gap,T,n_agents,condition,q_hat,se
individual,0.01,2000,300,unaided,0.48,0.028844410203711913
individual,0.01,2000,300,state_arm | Z=G,0.91,0.016522711641858305
individual,0.01,2000,300,state_arm | Z=F,0.14,0.020033305601755626
individual,0.01,2000,300,confused | Z=G,0.6433333333333333,0.027655955088404592
individual,0.01,2000,300,confused | Z=F,0.37333333333333335,0.027925827684275574
individual,0.01,2000,300,state_arm | mix,0.85,0.020615528128088305
individual,0.01,2000,300,confused | mix,0.6566666666666666,0.027413838084414933
horizon,0.01,1000,100,confused | Z=G,0.65,0.047696960070847276
horizon,0.01,1000,100,confused | Z=F,0.42,0.04935585071701227
horizon,0.01,3000,100,confused | Z=G,0.61,0.048774993593028795
horizon,0.01,3000,100,confused | Z=F,0.33,0.04702127178203499
horizon,0.01,10000,100,confused | Z=G,0.71,0.04537620521815371
horizon,0.01,10000,100,confused | Z=F,0.16,0.03666060555964672
horizon,0.01,30000,100,confused | Z=G,0.87,0.03363034344160047
horizon,0.01,30000,100,confused | Z=F,0.11,0.03128897569432403
community,0.1,3000,300,unaided,0.65,0.02753785273643051
community,0.1,3000,300,Z=G,1.0,0.0
community,0.1,3000,300,Z=F,0.0,0.0
community,0.1,3000,300,mix,1.0,0.0
